assigned_to,component,creation_time,id,keywords,last_change_time,priority,product,resolution,severity,status,summary,whiteboard
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",Gaia::Music,2013-04-23T22:12:55Z,865016,"[u'regression', u'reproducible']",2013-04-25T15:13:52Z,--,Firefox OS,DUPLICATE,critical,RESOLVED,[Music] - Music application enters perpertual loading state (spinner) when launching immediately after USB attached,[fromAutomation]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",Gaia::Cost Control,2013-04-30T20:53:09Z,867373,[],2014-01-10T13:34:36Z,--,Firefox OS,WORKSFORME,normal,RESOLVED,Cannot tap on settings button in Cost Control app,[fromAutomation]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",Gaia::Cost Control,2013-05-13T00:47:29Z,871336,[],2013-05-16T02:49:31Z,--,Firefox OS,FIXED,normal,RESOLVED,[v1.0.1] Cost Control app does not work,[fromAutomation]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",Gaia::Cost Control,2013-05-13T19:11:31Z,871691,[],2013-05-16T20:45:24Z,--,Firefox OS,FIXED,normal,RESOLVED,[v1.0.1] Cost Control reset wifi does not work,[fromAutomation]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",Gaia::Dialer,2013-05-13T21:20:15Z,871762,[u'smoketest'],2013-05-16T02:27:27Z,--,Firefox OS,FIXED,normal,RESOLVED,[B2G] [Inari] [Dialer] Call screen does not display when making a call,[fromAutomation]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",Gaia,2013-05-15T13:34:43Z,872510,[],2013-05-16T13:04:42Z,--,Firefox OS,DUPLICATE,major,RESOLVED,[B2G][Hamachi] Cannot switch wifi on using settings on Hamachi device,[fromAutomation]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",Gaia::Cost Control,2013-05-16T02:49:31Z,872868,[],2013-05-17T12:41:50Z,--,Firefox OS,WORKSFORME,major,RESOLVED,[v1.0.1] Cost Control does not report wifi usage,[fromAutomation]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",Gaia::Video,2013-05-20T12:40:24Z,874026,[],2013-05-28T05:18:51Z,--,Firefox OS,DUPLICATE,normal,RESOLVED,[v1-train]The camera doesn't save a video recording,[fromAutomation]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",Gaia::Everything.me,2013-06-03T11:41:40Z,878753,[],2013-10-23T10:56:00Z,--,Firefox OS,INVALID,normal,RESOLVED,Facebook app should be in the first apps in EverythingMe->Social,[fromAutomation]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",General,2013-06-04T15:58:38Z,879303,"[u'crash', u'intermittent-failure']",2013-07-02T16:35:33Z,--,Firefox OS,DUPLICATE,major,RESOLVED,#2 Intermittent B2G/Gaia crash during automation [nssCertificate_Destroy],[b2g-crash][fromAutomation]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",General,2013-06-04T20:07:31Z,879451,"[u'crash', u'intermittent-failure']",2013-08-22T14:17:34Z,--,Firefox OS,WORKSFORME,critical,RESOLVED,Intermittent failure in B2G/Gaia [jemalloc_crash],[b2g-crash][fromAutomation]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",General,2013-06-17T10:40:49Z,883792,[],2013-06-18T21:19:45Z,--,Firefox OS,DUPLICATE,critical,RESOLVED,[B2G][Inari][Cellular Voice and Data] v1.0.1/Inari build is failing to connect to carrier,[fromAutomation]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",RIL,2013-07-15T15:14:45Z,893816,[u'regression'],2014-01-24T00:31:15Z,--,Firefox OS,WORKSFORME,normal,RESOLVED,Cannot connect to Cellular Data on Romanian SIM,"[fromAutomation], burirun1"
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",General,2013-07-19T17:58:22Z,895981,[],2013-08-02T23:44:44Z,--,Firefox OS,WORKSFORME,normal,RESOLVED,Camera viewfinder is blank when taking a photo or video,[fromAutomation]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",Gaia::Video,2013-08-05T11:23:20Z,901479,[],2013-08-07T20:45:00Z,--,Firefox OS,DUPLICATE,normal,RESOLVED,Video app can't find any video files on the SD card,[fromAutomation]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",General,2013-08-19T23:18:23Z,906933,[],2013-08-23T22:27:17Z,--,Firefox OS,FIXED,critical,RESOLVED,Failing to connect/reconnect to cell data,[fromAutomation]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",Gaia::System,2013-09-04T01:59:15Z,912318,[],2013-09-04T02:06:37Z,--,Firefox OS,DUPLICATE,normal,RESOLVED,"Choosing Gallery from the ""Select from:"" menu does not present the Gallery",[fromAutomation]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",RIL,2013-09-05T15:24:38Z,913036,[],2014-03-18T19:30:02Z,--,Firefox OS,WONTFIX,blocker,RESOLVED,RIL is not starting up intermittently,[fromAutomation]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",Gaia::Contacts,2013-10-21T11:11:46Z,928882,[],2013-10-21T18:31:19Z,--,Firefox OS,DUPLICATE,normal,RESOLVED,Import contacts from SIM card does not work,[fromAutomation][xfail]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",Gaia::Cost Control,2013-10-24T14:53:22Z,930555,"[u'regression', u'smoketest']",2013-10-26T00:30:45Z,--,Firefox OS,FIXED,normal,RESOLVED,Cost control app fails to initalise,[fromAutomation]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",Gaia::Settings,2013-10-25T09:36:13Z,930919,[],2013-10-28T09:14:08Z,--,Firefox OS,WORKSFORME,normal,RESOLVED,Display issues in Settings app,[fromAutomation]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",Gaia::Dialer,2013-10-25T14:19:46Z,931022,[u'regression'],2013-11-07T14:17:54Z,--,Firefox OS,FIXED,normal,RESOLVED,Outgoing calls not being saved in call log,[fromAutomation]
"{u'name': u'nobody', u'real_name': u'Nobody; OK to take it and work on it'}",Gaia::Camera,2013-10-25T15:03:23Z,931035,[u'regression'],2013-11-14T02:24:04Z,--,Firefox OS,WORKSFORME,normal,RESOLVED,Adding camera/photo attachment to Messages sms fails,[fromAutomation]
